symbol,buy_date,exdividenddate,earningsdate,payoutdate,shortname,dividendrate,previousclose,currentprice,dividendyield,payoutratio,quotetype,dividend,message,hist,insight
TRTX-PC,2025-03-20,2025-03-21,2025-04-28,2025-03-31,"TPG RE Finance Trust, Inc. 6.25",1.6,17.3,17.4,9.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TRTX-PC started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -4.01%."
TIPLX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Bluerock Total Income + Real Es,0.0,0.0,0.0,0.0,0.0,MUTUALFUND,0.3,Payout Ratio falls within the low risk (<35%).,Reflecting a -1.48% cut.,TIPLX has just started to pay dividends.
SKLTF,1998-01-01,1998-01-01,1998-01-01,1998-01-01,SEEK LIMITED,0.2,0.0,13.2,1.7,162.6,EQUITY,0.2,Payout Ratio falls within the high risk (>75%).,Reflecting a 33.33% increase.,"SKLTF started paying dividends 11 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 50.00%."
HPP-PC,2025-03-20,2025-03-21,2025-05-07,2025-03-31,"Hudson Pacific Properties, Inc.",1.2,13.2,13.2,9.0,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"HPP-PC started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
JXN-PA,2025-03-10,2025-03-11,2025-05-08,2025-03-31,Jackson Financial Inc. Deposita,2.0,26.3,26.3,7.7,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JXN-PA started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -8.29%."
ASCIX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Angel Oak Strategic Credit Fund,0.0,0.0,0.0,0.0,0.0,MUTUALFUND,0.1,Payout Ratio falls within the low risk (<35%).,Reflecting a 2.94% increase.,ASCIX has just started to pay dividends.
UCB-PI,2025-02-27,2025-02-28,2025-04-22,2025-03-14,"United Community Banks, Inc. De",1.7,24.6,24.4,7.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"UCB-PI started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -1.08%."
OUTFF,2025-04-03,2025-04-04,2025-05-08,2019-04-05,OUTOKUMPU OYJ,0.3,0.0,3.0,9.0,26.9,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,OUTFF has just started to pay dividends.
RZC,1998-01-01,1998-01-01,1998-01-01,1998-01-01,"Reinsurance Group of America, I",0.0,25.3,0.0,0.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"RZC started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
AUB-PA,2025-02-13,2025-02-14,2025-04-24,2025-03-03,Atlantic Union Bankshares Corpo,1.7,24.6,24.7,7.0,0.0,EQUITY,0.4,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"AUB-PA started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 1.97%."
HDLB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Monthly Pay 2xLeveraged ,0.0,16.2,0.0,8.7,0.0,ETF,0.1,Payout Ratio falls within the low risk (<35%).,Reflecting a -40.00% cut.,HDLB has just started to pay dividends.
MVRL,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Monthly Pay 1.5X Leverag,0.0,16.3,0.0,16.8,0.0,ETF,0.1,Payout Ratio falls within the low risk (<35%).,Reflecting a -316.39% cut.,MVRL has just started to pay dividends.
MLPR,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Quarterly Pay 1.5X Lever,0.0,68.4,0.0,8.5,0.0,ETF,1.5,Payout Ratio falls within the low risk (<35%).,Reflecting a 0.73% increase.,"MLPR started paying dividends 5 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 10.40%."
MLPB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Alerian MLP Infrastructu,0.0,27.8,0.0,5.5,0.0,ETF,0.4,Payout Ratio falls within the low risk (<35%).,Reflecting a 1.54% increase.,"MLPB started paying dividends 10 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 8.94%."
PFFL,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS 2xMonthly Pay Leveraged ,0.0,8.7,0.0,12.7,0.0,ETF,0.1,Payout Ratio falls within the low risk (<35%).,Reflecting a 51.58% increase.,PFFL has just started to pay dividends.
SMHB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Monthly Pay 2x Leveraged,0.0,4.7,0.0,20.5,0.0,ETF,0.0,Payout Ratio falls within the low risk (<35%).,Reflecting a -102.13% cut.,SMHB has just started to pay dividends.
CEFD,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Monthly Pay 1.5X Leverag,0.0,18.8,0.0,14.1,0.0,ETF,0.2,Payout Ratio falls within the low risk (<35%).,Reflecting a 5.26% increase.,CEFD has just started to pay dividends.
BDCZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS MarketVector Business De,0.0,19.4,0.0,8.3,0.0,ETF,0.3,Payout Ratio falls within the low risk (<35%).,Reflecting a -39.32% cut.,BDCZ has just started to pay dividends.
BDCX,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Quarterly Pay 1.5x Lever,0.0,32.0,0.0,13.7,0.0,ETF,0.9,Payout Ratio falls within the low risk (<35%).,Reflecting a -38.42% cut.,BDCX has just started to pay dividends.
AMUB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,ETRACS Alerian MLP Index ETN Se,0.0,20.5,0.0,4.1,0.0,ETF,0.3,Payout Ratio falls within the low risk (<35%).,Reflecting a 5.00% increase.,"AMUB started paying dividends 10 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 4.17%."
GLADZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Gladstone Capital Corporation -,0.0,25.7,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"GLADZ started paying dividends 3 years ago, but there is no recorded dividend growth in the last 1 years."
TEN-PF,2025-01-26,2025-01-27,2025-06-16,2025-01-30,Tsakos Energy Navigation Ltd Se,2.4,26.5,26.7,8.9,0.0,EQUITY,0.6,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TEN-PF started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
TEN-PE,2025-02-24,2025-02-25,2025-06-16,2025-02-28,Tsakos Energy Navigation Ltd Se,2.3,25.9,25.9,8.9,0.0,EQUITY,0.6,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TEN-PE started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
ARES-PB,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Ares Management Corporation 6.7,0.0,48.2,0.0,0.0,0.0,EQUITY,0.8,Payout Ratio falls within the low risk (<35%).,Reflecting a 10.00% increase.,ARES-PB has just started to pay dividends.
DLR-PL,2025-03-13,2025-03-14,2025-04-24,2025-03-31,"Digital Realty Trust, Inc. 5.20",1.3,20.1,20.1,6.5,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DLR-PL started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
DESLF,1998-01-01,1998-01-01,1998-01-01,1998-01-01,N/A,0.6,0.0,29.9,2.0,28.8,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,DESLF has just started to pay dividends.
SAJ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Saratoga Investment Corp 8.00% ,0.0,25.5,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SAJ started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
SAZ,1998-01-01,1998-01-01,1998-01-01,1998-01-01,Saratoga Investment Corp 8.50% ,0.0,25.4,0.0,0.0,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"SAZ started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 38.45%."
BIP-PB,2025-02-27,2025-02-28,2025-04-29,2025-03-17,Brookfield Infrastructure Partn,1.2,16.3,16.4,7.6,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BIP-PB started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BIP-PA,2025-02-27,2025-02-28,2025-04-29,2025-03-17,Brookfield Infrastructure Partn,1.3,16.7,16.8,6.8,0.0,EQUITY,0.3,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BIP-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
