symbol,header,message,date,amount
JPM,Dividend,JPM announced a cash dividend of 1.40 with an ex-date of Apr. 4 2025,2025-04-04,1.40
MA,Dividend,MA announced a cash dividend of 0.76 with an ex-date of Apr. 9 2025,2025-04-09,0.76
ORCL,Dividend,ORCL announced a cash dividend of 0.50 with an ex-date of Apr. 10 2025,2025-04-10,0.50
NVO,Dividend,NVO announced a cash dividend of 1.099 with an ex-date of Mar. 31 2025,2025-03-31,1.099
ABBV,Dividend,ABBV announced a cash dividend of 1.64 with an ex-date of Apr. 15 2025,2025-04-15,1.64
CRM,Dividend,CRM announced a cash dividend of 0.42 with an ex-date of Apr. 10 2025,2025-04-10,0.42
ASML,Dividend,ASML announced a cash dividend of 1.919 with an ex-date of Apr. 28 2025,2025-04-28,1.919
CSCO,Dividend,CSCO announced a cash dividend of 0.41 with an ex-date of Apr. 3 2025,2025-04-03,0.41
ACN,Dividend,ACN announced a cash dividend of 1.48 with an ex-date of Apr. 10 2025,2025-04-10,1.48
AXP,Dividend,AXP announced a cash dividend of 0.82 with an ex-date of Apr. 4 2025,2025-04-04,0.82
ABT,Dividend,ABT announced a cash dividend of 0.59 with an ex-date of Apr. 15 2025,2025-04-15,0.59
INTU,Dividend,INTU announced a cash dividend of 1.04 with an ex-date of Apr. 10 2025,2025-04-10,1.04
VZ,Dividend,VZ announced a cash dividend of 0.678 with an ex-date of Apr. 10 2025,2025-04-10,0.678
RY,Dividend,RY announced a cash dividend of 1.48 with an ex-date of Apr. 24 2025,2025-04-24,1.48
CMCSA,Dividend,CMCSA announced a cash dividend of 0.33 with an ex-date of Apr. 2 2025,2025-04-02,0.33
PGR,Dividend,PGR announced a cash dividend of 0.10 with an ex-date of Apr. 3 2025,2025-04-03,0.10
LOW,Dividend,LOW announced a cash dividend of 1.15 with an ex-date of Apr. 23 2025,2025-04-23,1.15
SYK,Dividend,SYK announced a cash dividend of 0.84 with an ex-date of Mar. 31 2025,2025-03-31,0.84
EADSY,Dividend,EADSY announced a cash dividend of 0.538 with an ex-date of Apr. 23 2025,2025-04-23,0.538
BMY,Dividend,BMY announced a cash dividend of 0.62 with an ex-date of Apr. 4 2025,2025-04-04,0.62
DE,Dividend,DE announced a cash dividend of 1.62 with an ex-date of Mar. 31 2025,2025-03-31,1.62
MMC,Dividend,MMC announced a cash dividend of 0.815 with an ex-date of Apr. 3 2025,2025-04-03,0.815
MRVL,Dividend,MRVL announced a cash dividend of 0.06 with an ex-date of Apr. 11 2025,2025-04-11,0.06
UBS,Dividend,UBS announced a cash dividend of 0.90 with an ex-date of Apr. 16 2025,2025-04-16,0.90
MU,Dividend,MU announced a cash dividend of 0.115 with an ex-date of Mar. 31 2025,2025-03-31,0.115
TD,Dividend,TD announced a cash dividend of 1.05 with an ex-date of Apr. 10 2025,2025-04-10,1.05
AMT,Dividend,AMT announced a cash dividend of 1.70 with an ex-date of Apr. 11 2025,2025-04-11,1.70
DELL,Dividend,DELL announced a cash dividend of 0.525 with an ex-date of Apr. 22 2025,2025-04-22,0.525
MDLZ,Dividend,MDLZ announced a cash dividend of 0.47 with an ex-date of Mar. 31 2025,2025-03-31,0.47
PBR,Dividend,PBR announced a cash dividend of 0.25 with an ex-date of Apr. 22 2025,2025-04-22,0.25
RACE,Dividend,RACE announced a cash dividend of 2.986 with an ex-date of Apr. 23 2025,2025-04-23,2.986
USB,Dividend,USB announced a cash dividend of 0.50 with an ex-date of Mar. 31 2025,2025-03-31,0.50
ITW,Dividend,ITW announced a cash dividend of 1.50 with an ex-date of Mar. 31 2025,2025-03-31,1.50
CL,Dividend,CL announced a cash dividend of 0.52 with an ex-date of Apr. 17 2025,2025-04-17,0.52
ZTS,Dividend,ZTS announced a cash dividend of 0.50 with an ex-date of Apr. 21 2025,2025-04-21,0.50
BNS,Dividend,BNS announced a cash dividend of 1.06 with an ex-date of Apr. 1 2025,2025-04-01,1.06
GD,Dividend,GD announced a cash dividend of 1.50 with an ex-date of Apr. 11 2025,2025-04-11,1.50
EOG,Dividend,EOG announced a cash dividend of 0.975 with an ex-date of Apr. 16 2025,2025-04-16,0.975
BMO,Dividend,BMO announced a cash dividend of 1.59 with an ex-date of Apr. 29 2025,2025-04-29,1.59
SAN,Dividend,SAN announced a cash dividend of 0.115 with an ex-date of Apr. 30 2025,2025-04-30,0.115
APD,Dividend,APD announced a cash dividend of 1.79 with an ex-date of Apr. 1 2025,2025-04-01,1.79
RSG,Dividend,RSG announced a cash dividend of 0.58 with an ex-date of Apr. 2 2025,2025-04-02,0.58
CVS,Dividend,CVS announced a cash dividend of 0.665 with an ex-date of Apr. 22 2025,2025-04-22,0.665
JD,Dividend,JD announced a cash dividend of 1.00 with an ex-date of Apr. 8 2025,2025-04-08,1.00
BBVA,Dividend,BBVA announced a cash dividend of 0.444 with an ex-date of Apr. 9 2025,2025-04-09,0.444
ROP,Dividend,ROP announced a cash dividend of 0.825 with an ex-date of Apr. 4 2025,2025-04-04,0.825
FCX,Dividend,FCX announced a cash dividend of 0.15 with an ex-date of Apr. 15 2025,2025-04-15,0.15
TRP,Dividend,TRP announced a cash dividend of 0.85 with an ex-date of Mar. 31 2025,2025-03-31,0.85
ING,Dividend,ING announced a cash dividend of 0.768 with an ex-date of Apr. 25 2025,2025-04-25,0.768
PWR,Dividend,PWR announced a cash dividend of 0.10 with an ex-date of Apr. 3 2025,2025-04-03,0.10
CTA-PA,Dividend,CTA-PA announced a cash dividend of 0.875 with an ex-date of Apr. 4 2025,2025-04-04,0.875
O,Dividend,O announced a cash dividend of 0.269 with an ex-date of Apr. 1 2025,2025-04-01,0.269
ITUB,Dividend,ITUB announced a cash dividend of 0.003 with an ex-date of Apr. 2 2025,2025-04-02,0.003
PCG,Dividend,PCG announced a cash dividend of 0.025 with an ex-date of Mar. 31 2025,2025-03-31,0.025
BAESY,Dividend,BAESY announced a cash dividend of 1.044 with an ex-date of Apr. 22 2025,2025-04-22,1.044
HLN,Dividend,HLN announced a cash dividend of 0.117 with an ex-date of Apr. 25 2025,2025-04-25,0.117
A,Dividend,A announced a cash dividend of 0.248 with an ex-date of Apr. 1 2025,2025-04-01,0.248
CAIXY,Dividend,CAIXY announced a cash dividend of 0.103 with an ex-date of Apr. 22 2025,2025-04-22,0.103
SYY,Dividend,SYY announced a cash dividend of 0.51 with an ex-date of Apr. 4 2025,2025-04-04,0.51
STLA,Dividend,STLA announced a cash dividend of 0.68 with an ex-date of Apr. 23 2025,2025-04-23,0.68
GEHC,Dividend,GEHC announced a cash dividend of 0.035 with an ex-date of Apr. 25 2025,2025-04-25,0.035
GIS,Dividend,GIS announced a cash dividend of 0.60 with an ex-date of Apr. 10 2025,2025-04-10,0.60
