symbol|date|dividends
TRTX-PC|2021-12-31|0.8507
TRTX-PC|2022-12-31|1.5624
TRTX-PC|2023-12-31|1.5624
TRTX-PC|2024-12-31|1.5624
TIPLX|2017-12-31|1.166
TIPLX|2018-12-31|1.582
TIPLX|2019-12-31|1.593
TIPLX|2020-12-31|1.557
TIPLX|2021-12-31|1.645
TIPLX|2022-12-31|2.397
TIPLX|2023-12-31|1.667
TIPLX|2024-12-31|1.419
SKLTF|2014-12-31|0.2342101899999999
SKLTF|2015-12-31|0.32677913
SKLTF|2016-12-31|0.36308808
SKLTF|2017-12-31|0.34221058
SKLTF|2018-12-31|0.15249714
SKLTF|2019-12-31|0.0
SKLTF|2020-12-31|0.08260262
SKLTF|2021-12-31|0.25416192
SKLTF|2022-12-31|0.2795781
SKLTF|2023-12-31|0.29864024
SKLTF|2024-12-31|0.222391666
HPP-PC|2022-12-31|1.335938
HPP-PC|2023-12-31|1.1875
HPP-PC|2024-12-31|1.1875
JXN-PA|2023-12-31|1.59444
JXN-PA|2024-12-31|2.0
ASCIX|2017-12-31|0.002
ASCIX|2018-12-31|2.075
ASCIX|2019-12-31|1.663
ASCIX|2020-12-31|1.982
ASCIX|2021-12-31|3.11
ASCIX|2022-12-31|1.492
ASCIX|2023-12-31|1.738
ASCIX|2024-12-31|1.845
ASCIX|2025-12-31|0.132
UCB-PI|2020-12-31|0.883247
UCB-PI|2021-12-31|1.718752
UCB-PI|2022-12-31|1.718752
UCB-PI|2023-12-31|1.718752
UCB-PI|2024-12-31|1.718752
OUTFF|2017-12-31|0.108
OUTFF|2018-12-31|0.308
OUTFF|2019-12-31|0.0
OUTFF|2020-12-31|0.0
OUTFF|2021-12-31|0.0
OUTFF|2022-12-31|0.166
OUTFF|2023-12-31|0.382
OUTFF|2024-12-31|0.282
RZC|2023-12-31|1.78
RZC|2024-12-31|1.78
AUB-PA|2020-12-31|0.8200000000000001
AUB-PA|2021-12-31|1.72
AUB-PA|2022-12-31|1.72
AUB-PA|2023-12-31|1.72
AUB-PA|2024-12-31|1.72
AUB-PA|2025-12-31|0.43
HDLB|2019-12-31|0.259
HDLB|2020-12-31|1.858
HDLB|2021-12-31|1.371
HDLB|2022-12-31|1.674
HDLB|2023-12-31|1.431
HDLB|2024-12-31|1.347
HDLB|2025-12-31|0.11
MVRL|2020-12-31|2.264
MVRL|2021-12-31|5.636
MVRL|2022-12-31|5.288
MVRL|2023-12-31|3.654
MVRL|2024-12-31|3.055
MVRL|2025-12-31|0.086
MLPR|2021-12-31|3.396
MLPR|2022-12-31|4.157
MLPR|2023-12-31|5.048
MLPR|2024-12-31|5.696
MLPR|2025-12-31|1.497
MLPB|2016-12-31|1.876
MLPB|2017-12-31|1.68
MLPB|2018-12-31|1.604
MLPB|2019-12-31|1.553
MLPB|2020-12-31|1.415
MLPB|2021-12-31|1.0750000000000002
MLPB|2022-12-31|1.125
MLPB|2023-12-31|1.363
MLPB|2024-12-31|1.498
MLPB|2025-12-31|0.39
PFFL|2018-12-31|0.442
PFFL|2019-12-31|2.84
PFFL|2020-12-31|1.892
PFFL|2021-12-31|1.68
PFFL|2022-12-31|1.449
PFFL|2023-12-31|1.358
PFFL|2024-12-31|1.259
PFFL|2025-12-31|0.1
SMHB|2018-12-31|0.17
SMHB|2019-12-31|3.484
SMHB|2020-12-31|1.372
SMHB|2021-12-31|1.481
SMHB|2022-12-31|1.577
SMHB|2023-12-31|1.131
SMHB|2024-12-31|1.134
SMHB|2025-12-31|0.086
CEFD|2020-12-31|1.5699999999999998
CEFD|2021-12-31|3.313
CEFD|2022-12-31|3.299
CEFD|2023-12-31|2.762
CEFD|2024-12-31|2.722
CEFD|2025-12-31|0.3
BDCZ|2016-12-31|1.798
BDCZ|2017-12-31|1.825
BDCZ|2018-12-31|1.711
BDCZ|2019-12-31|1.714
BDCZ|2020-12-31|1.624
BDCZ|2021-12-31|1.502
BDCZ|2022-12-31|1.571
BDCZ|2023-12-31|1.732
BDCZ|2024-12-31|1.796
BDCZ|2025-12-31|0.323
BDCX|2020-12-31|1.881
BDCX|2021-12-31|4.617
BDCX|2022-12-31|4.968999999999999
BDCX|2023-12-31|4.816
BDCX|2024-12-31|4.963
BDCX|2025-12-31|0.898
AMUB|2016-12-31|1.316
AMUB|2017-12-31|1.212
AMUB|2018-12-31|1.185
AMUB|2019-12-31|1.147
AMUB|2020-12-31|0.954
AMUB|2021-12-31|0.8240000000000001
AMUB|2022-12-31|0.87
AMUB|2023-12-31|1.0470000000000002
AMUB|2024-12-31|1.115
SSRGF|2023-12-31|0.154655612
