symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,message,DividendDate,DividendDate.1,ExDividendDate,ExDividendDate.1,EarningsDate,payoutdate,buy_date,hist,insight
TRTX-PC,"TPG RE Finance Trust, Inc. 6.25",0.3906,0.3906,17.31,17.4099,8.97,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-21,2025-03-21,2025-04-28,2025-03-31,2025-03-20,This is in line with the previous dividend.,"TRTX-PC started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -4.01%."
TIPLX,Bluerock Total Income + Real Es,0.337,0.337,,,,0.0,MUTUALFUND,"TIPLX does not have available dividend date information.
",,,,,,,,Reflecting a -1.48% cut.,TIPLX has just started to pay dividends.
SKLTF,SEEK LIMITED,0.15119728,0.15119728,0.0,13.17,1.67,162.63,EQUITY,"SKLTF does not have available dividend date information.
",,,,,,,,Reflecting a 33.33% increase.,"SKLTF started paying dividends 11 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 50.00%."
HPP-PC,"Hudson Pacific Properties, Inc.",0.296875,0.296875,13.16,13.16,9.02,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-21,2025-03-21,2025-05-07,2025-03-31,2025-03-20,This is in line with the previous dividend.,"HPP-PC started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
JXN-PA,Jackson Financial Inc. Deposita,0.5,0.5,26.32,26.32,7.66,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-11,2025-03-11,2025-05-08,2025-03-31,2025-03-10,This is in line with the previous dividend.,"JXN-PA started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -8.29%."
ASCIX,Angel Oak Strategic Credit Fund,0.136,0.136,,,,0.0,MUTUALFUND,"ASCIX does not have available dividend date information.
",,,,,,,,Reflecting a 2.94% increase.,ASCIX has just started to pay dividends.
UCB-PI,"United Community Banks, Inc. De",0.429688,0.429688,24.57,24.44,7.03,0.0,EQUITY,,2025-03-13,2025-03-13,2025-02-28,2025-02-28,2025-04-22,2025-03-14,2025-02-27,This is in line with the previous dividend.,"UCB-PI started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -1.08%."
OUTFF,OUTOKUMPU OYJ,0.282,0.282,0.0,3.01,8.99,26.88,EQUITY,,2019-04-04,2019-04-04,2025-04-04,2025-04-04,2025-05-08,2019-04-05,2025-04-03,This is in line with the previous dividend.,OUTFF has just started to pay dividends.
RZC,"Reinsurance Group of America, I",0.445,0.445,25.2747,,,0.0,EQUITY,"RZC does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"RZC started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
AUB-PA,Atlantic Union Bankshares Corpo,0.43,0.43,24.65,24.73,7.02,0.0,EQUITY,,2025-03-02,2025-03-02,2025-02-14,2025-02-14,2025-04-24,2025-03-03,2025-02-13,This is in line with the previous dividend.,"AUB-PA started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 1.97%."
HDLB,ETRACS Monthly Pay 2xLeveraged ,0.1,0.1,16.1625,,8.68,0.0,ETF,"HDLB does not have available dividend date information.
",,,,,,,,Reflecting a -40.00% cut.,HDLB has just started to pay dividends.
MVRL,ETRACS Monthly Pay 1.5X Leverag,0.122,0.122,16.2703,,16.84,0.0,ETF,"MVRL does not have available dividend date information.
",,,,,,,,Reflecting a -316.39% cut.,MVRL has just started to pay dividends.
MLPR,ETRACS Quarterly Pay 1.5X Lever,1.497,1.497,68.4382,,8.53,0.0,ETF,"MLPR does not have available dividend date information.
",,,,,,,,Reflecting a 0.73% increase.,"MLPR started paying dividends 5 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 10.40%."
MLPB,ETRACS Alerian MLP Infrastructu,0.39,0.39,27.754,,5.48,0.0,ETF,"MLPB does not have available dividend date information.
",,,,,,,,Reflecting a 1.54% increase.,"MLPB started paying dividends 10 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 8.94%."
PFFL,ETRACS 2xMonthly Pay Leveraged ,0.095,0.095,8.7026,,12.7,0.0,ETF,"PFFL does not have available dividend date information.
",,,,,,,,Reflecting a 51.58% increase.,PFFL has just started to pay dividends.
SMHB,ETRACS Monthly Pay 2x Leveraged,0.047,0.047,4.73,,20.49,0.0,ETF,"SMHB does not have available dividend date information.
",,,,,,,,Reflecting a -102.13% cut.,SMHB has just started to pay dividends.
CEFD,ETRACS Monthly Pay 1.5X Leverag,0.228,0.228,18.8235,,14.08,0.0,ETF,"CEFD does not have available dividend date information.
",,,,,,,,Reflecting a 5.26% increase.,CEFD has just started to pay dividends.
BDCZ,ETRACS MarketVector Business De,0.323,0.323,19.4267,,8.34,0.0,ETF,"BDCZ does not have available dividend date information.
",,,,,,,,Reflecting a -39.32% cut.,BDCZ has just started to pay dividends.
BDCX,ETRACS Quarterly Pay 1.5x Lever,0.898,0.898,31.9764,,13.73,0.0,ETF,"BDCX does not have available dividend date information.
",,,,,,,,Reflecting a -38.42% cut.,BDCX has just started to pay dividends.
AMUB,ETRACS Alerian MLP Index ETN Se,0.3,0.3,20.537,,4.09,0.0,ETF,"AMUB does not have available dividend date information.
",,,,,,,,Reflecting a 5.00% increase.,"AMUB started paying dividends 10 years ago, and dividends have been growing for 1 years. Dividend Growth Rate for the last 1 years is 4.17%."
GLADZ,Gladstone Capital Corporation -,0.484,0.484,25.66,,,0.0,EQUITY,"GLADZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"GLADZ started paying dividends 3 years ago, but there is no recorded dividend growth in the last 1 years."
TEN-PF,Tsakos Energy Navigation Ltd Se,0.59375,0.59375,26.5315,26.66,8.91,0.0,EQUITY,,2025-01-29,2025-01-29,2025-01-27,2025-01-27,2025-06-16,2025-01-30,2025-01-26,This is in line with the previous dividend.,"TEN-PF started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
TEN-PE,Tsakos Energy Navigation Ltd Se,0.578125,0.578125,25.94,25.92,8.92,0.0,EQUITY,,2025-02-27,2025-02-27,2025-02-25,2025-02-25,2025-06-16,2025-02-28,2025-02-24,This is in line with the previous dividend.,"TEN-PE started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
ARES-PB,Ares Management Corporation 6.7,0.84375,0.84375,48.21,,,0.0,EQUITY,"ARES-PB does not have available dividend date information.
",,,,,,,,Reflecting a 10.00% increase.,ARES-PB has just started to pay dividends.
DLR-PL,"Digital Realty Trust, Inc. 5.20",0.325,0.325,20.12,20.11,6.46,0.0,EQUITY,,2025-03-30,2025-03-30,2025-03-14,2025-03-14,2025-04-24,2025-03-31,2025-03-13,This is in line with the previous dividend.,"DLR-PL started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
DESLF,,0.3202776,0.3202776,0.0,29.9,1.98,28.82,EQUITY,"DESLF does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,DESLF has just started to pay dividends.
SAJ,Saratoga Investment Corp 8.00% ,0.5,0.5,25.4722,,,0.0,EQUITY,"SAJ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SAJ started paying dividends 3 years ago, but there is no recorded dividend growth in the last 2 years."
SAZ,Saratoga Investment Corp 8.50% ,0.531,0.531,25.37,,,0.0,EQUITY,"SAZ does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"SAZ started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is 38.45%."
BIP-PB,Brookfield Infrastructure Partn,0.3125,0.3125,16.28,16.435,7.61,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-29,2025-03-17,2025-02-27,This is in line with the previous dividend.,"BIP-PB started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
BIP-PA,Brookfield Infrastructure Partn,0.320313,0.320313,16.66,16.75,6.85,0.0,EQUITY,,2025-03-16,2025-03-16,2025-02-28,2025-02-28,2025-04-29,2025-03-17,2025-02-27,This is in line with the previous dividend.,"BIP-PA started paying dividends 6 years ago, but there is no recorded dividend growth in the last 4 years."
BIPI,BIP Bermuda Holdings I Limited ,0.32,0.32,16.33,,,0.0,EQUITY,"BIPI does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,BIPI has just started to pay dividends.
BIPH,Brookfield Infrastructure Corpo,0.313,0.313,16.48,,,0.0,EQUITY,"BIPH does not have available dividend date information.
",,,,,,,,This is in line with the previous dividend.,"BIPH started paying dividends 5 years ago, and dividends have been growing for 3 years. Dividend Growth Rate for the last 3 years is 0.43%."
