Symbol,shortName,dividendRate,lastDividendValue,previousClose,currentPrice,dividendYield,payoutRatio,quoteType,trailingAnnualDividendRate,trailingAnnualDividendYield,AnnualRate,message,DividendDate,ExDividendDate,EarningsDate,payoutdate,buy_date,hist,insight
IX,Orix Corp,0.965,2.057383,99.78,101.65,379.0,32.66,EQUITY,104.97,1.0520145,3.86,"Payout Ratio falls within the ""low risk"" range (<35%).",2024-12-15,2024-09-30,2025-05-06,2024-12-16,2024-09-29,Reflecting a 0.46904246802855853% cut., IX first paid dividend 25 years ago but dividends are growing only for 2 years. Dividend Growth Rate for last 2 years is 15.95%
VLTO,Veralto Corp,0.11,0.11,100.07,100.65,44.0,11.3800004,EQUITY,0.38,0.0037973418,0.44,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-01-30,2024-12-31,2025-04-21,2025-01-31,2024-12-30,This is line with previous dividend., VLTO first paid dividend 2 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 22.22%
LPLA,LPL Financial Holdings Inc.,0.3,0.3,374.22,357.36,34.0,8.55,EQUITY,1.2,0.00320667,1.2,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-24,2025-03-11,2025-04-28,2025-03-25,2025-03-10,This is line with previous dividend., LPLA first paid dividend 13 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 0.00%
DTE,DTE Energy Company,1.09,1.09,132.38,133.39,327.0,61.3,EQUITY,4.15,0.031349145,4.36,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-04-14,2025-03-17,2025-04-23,2025-04-15,2025-03-16,This is line with previous dividend., DTE first paid dividend 63 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 4.23%
TROW,"T. Rowe Price Group, Inc.",1.27,1.24,106.57,106.23,478.0,54.21,EQUITY,4.96,0.04654218,5.08,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-27,2025-03-14,2025-04-24,2025-03-28,2025-03-13,Reflecting a 2.4193548387096753% increase., TROW first paid dividend 39 years ago but dividends are growing only for 4 years. Dividend Growth Rate for last 4 years is 3.51%
FUJIY,FUJIFILM Holdings Corp.,0.045,0.027333,9.9,9.97,186.0,72.550005,EQUITY,53.333,5.3871717,0.18,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2019-07-15,2024-09-30,2025-05-07,2019-07-16,2024-09-29,Reflecting a 64.63615409944023% increase., FUJIY first paid dividend 23 years ago but dividends are growing only for 18 years. Dividend Growth Rate for last 5 years is 0.00%
CHD,"Church & Dwight Company, Inc.",0.295,0.295,107.59,110.57,107.0,47.89,EQUITY,1.135,0.010549308,1.18,"Payout Ratio falls within the ""medium risk"" range (33%-75%).",2025-03-02,2025-02-14,2025-04-30,2025-03-03,2025-02-13,This is line with previous dividend., CHD first paid dividend 36 years ago but dividends are growing only for 22 years. Dividend Growth Rate for last 5 years is 4.21%
SYF,Synchrony Financial,0.25,0.25,60.57,59.51,168.0,11.700000000000001,EQUITY,1.0,0.016509824,1.0,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-02-17,2025-02-03,2025-04-22,2025-02-18,2025-02-02,This is line with previous dividend., SYF first paid dividend 10 years ago but dividends are growing only for 0 years. Dividend Growth Rate for last 0 years is 0.00%
DOV,Dover Corporation,0.515,0.515,199.46,198.36,104.0,20.32,EQUITY,2.05,0.010277749,2.06,"Payout Ratio falls within the ""low risk"" range (<35%).",2025-03-13,2025-02-28,2025-04-23,2025-03-14,2025-02-27,This is line with previous dividend., DOV first paid dividend 43 years ago but dividends are growing only for 21 years. Dividend Growth Rate for last 5 years is 1.00%
EL,"Estee Lauder Companies, Inc. (T",0.35,0.35,75.1,74.78,187.0,471.42999999999995,EQUITY,2.33,0.0310253,1.4,"Payout Ratio falls within the ""high risk"" range (>75%).",2025-03-16,2025-02-28,2025-05-01,2025-03-17,2025-02-27,This is line with previous dividend., EL first paid dividend 29 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is -46.97%
