symbol,buy_date,exdividenddate,earningsdate,payoutdate,shortname,dividendrate,previousclose,currentprice,dividendyield,payoutratio,quotetype,dividend,message,hist,insight
TRTX-PC,2025-03-20,2025-03-21,2025-04-28,2025-03-31,"TPG RE Finance Trust, Inc. 6.25",1.56,17.31,17.4099,8.97,0.0,EQUITY,0.3906,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TRTX-PC started paying dividends 5 years ago, and dividends have been growing for 4 years. Dividend Growth Rate for the last 4 years is -4.01%."
HPP-PC,2025-03-20,2025-03-21,2025-05-07,2025-03-31,"Hudson Pacific Properties, Inc.",1.19,13.16,13.16,9.02,0.0,EQUITY,0.296875,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"HPP-PC started paying dividends 4 years ago, but there is no recorded dividend growth in the last 3 years."
JXN-PA,2025-03-10,2025-03-11,2025-05-08,2025-03-31,Jackson Financial Inc. Deposita,2.0,26.32,26.32,7.66,0.0,EQUITY,0.5,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"JXN-PA started paying dividends 3 years ago, and dividends have been growing for 2 years. Dividend Growth Rate for the last 2 years is -8.29%."
UCB-PI,2025-02-27,2025-02-28,2025-04-22,2025-03-14,"United Community Banks, Inc. De",1.72,24.57,24.44,7.03,0.0,EQUITY,0.429688,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"UCB-PI started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is -1.08%."
OUTFF,2025-04-03,2025-04-04,2025-05-08,2019-04-05,OUTOKUMPU OYJ,0.27,0.0,3.01,8.99,26.88,EQUITY,0.282,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,OUTFF has just started to pay dividends.
AUB-PA,2025-02-13,2025-02-14,2025-04-24,2025-03-03,Atlantic Union Bankshares Corpo,1.72,24.65,24.73,7.02,0.0,EQUITY,0.43,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"AUB-PA started paying dividends 6 years ago, and dividends have been growing for 5 years. Dividend Growth Rate for the last 5 years is 1.97%."
TEN-PF,2025-01-26,2025-01-27,2025-06-16,2025-01-30,Tsakos Energy Navigation Ltd Se,2.38,26.5315,26.66,8.91,0.0,EQUITY,0.59375,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TEN-PF started paying dividends 8 years ago, but there is no recorded dividend growth in the last 5 years."
TEN-PE,2025-02-24,2025-02-25,2025-06-16,2025-02-28,Tsakos Energy Navigation Ltd Se,2.31,25.94,25.92,8.92,0.0,EQUITY,0.578125,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"TEN-PE started paying dividends 9 years ago, but there is no recorded dividend growth in the last 5 years."
DLR-PL,2025-03-13,2025-03-14,2025-04-24,2025-03-31,"Digital Realty Trust, Inc. 5.20",1.3,20.12,20.11,6.46,0.0,EQUITY,0.325,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"DLR-PL started paying dividends 7 years ago, but there is no recorded dividend growth in the last 5 years."
BIP-PB,2025-02-27,2025-02-28,2025-04-29,2025-03-17,Brookfield Infrastructure Partn,1.25,16.28,16.435,7.61,0.0,EQUITY,0.3125,Payout Ratio falls within the low risk (<35%).,This is in line with the previous dividend.,"BIP-PB started paying dividends 5 years ago, but there is no recorded dividend growth in the last 4 years."
