symbol|shortName|dividendRate|previousClose|currentPrice|dividendYield|payoutRatio|quoteType|dividend|date|message|Ex-Dividend Date|Dividend Date|Earnings Date|payoutdate|buy_date|hist|insight
AAPL| Apple Inc. |1.0|223.85|217.9|0.46|15.71|EQUITY|0.25|2025-02-10| Payout Ratio falls within the  low risk  range (<35%). |2025-02-10|2025-02-12|2025-04-30|2025-02-13|2025-02-09| This is line with previous dividend. |  AAPL first paid dividend 23 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 4.05% 
NVDA| NVIDIA Corporation |0.04|111.43|109.67|0.04|1.16|EQUITY|0.01|2025-03-12| Payout Ratio falls within the  low risk  range (<35%). |2025-03-12|2025-04-01|2025-05-28|2025-04-02|2025-03-11| This is line with previous dividend. |  NVDA first paid dividend 14 years ago but dividends are growing only for 10 years. Dividend Growth Rate for last 5 years is 20.11% 
MSFT| Microsoft Corporation |3.32|390.58|378.8|0.88|24.82|EQUITY|0.83|2025-02-20| Payout Ratio falls within the  low risk  range (<35%). |2025-05-15|2025-06-11|2025-04-23|2025-06-12|2025-05-14| This is line with previous dividend. |  MSFT first paid dividend 23 years ago but dividends are growing only for 15 years. Dividend Growth Rate for last 5 years is 10.23% 
GOOGL| Alphabet Inc. |0.8|162.24|154.33|0.52|7.46|EQUITY|0.2|2025-03-10| Payout Ratio falls within the  low risk  range (<35%). |2025-03-10|2025-03-16|2025-04-23|2025-03-17|2025-03-09| This is line with previous dividend. | GOOGL dividend growth is zero. 
META| Meta Platforms  Inc. |2.1|602.58|576.74|0.36|8.38|EQUITY|0.525|2025-03-14| Payout Ratio falls within the  low risk  range (<35%). |2025-03-14|2025-03-25|2025-04-22|2025-03-26|2025-03-13| This is line with previous dividend. |  META first paid dividend 2 years ago but dividends are growing only for 1 years. Dividend Growth Rate for last 1 years is 5.00% 
AVGO| Broadcom Inc. |2.36|171.99|169.12|1.4|100.46|EQUITY|0.59|2025-03-20| Payout Ratio falls within the  high risk  range (>75%). |2025-03-20|2025-03-30|2025-06-10|2025-03-31|2025-03-19| This is line with previous dividend. |  AVGO first paid dividend 16 years ago but dividends are growing only for 7 years. Dividend Growth Rate for last 5 years is 12.67% 
WMT| Walmart Inc. |0.94|85.63|85.15|1.1|34.44|EQUITY|0.235|2025-03-21| Payout Ratio falls within the  low risk  range (<35%). |2025-05-09|2026-01-04|2025-05-15|2026-01-05|2025-05-08| This is line with previous dividend. |  WMT first paid dividend 52 years ago but dividends are growing only for 43 years. Dividend Growth Rate for last 5 years is 5.48% 
LLY| Eli Lilly and Company |6.0|821.67|822.51|0.73|44.41|EQUITY|1.5|2025-02-14| Payout Ratio falls within the  medium risk  range (33%-75%). |2025-02-14|2025-03-09|2025-05-01|2025-03-10|2025-02-13| This is line with previous dividend. |  LLY first paid dividend 54 years ago but dividends are growing only for 27 years. Dividend Growth Rate for last 5 years is 15.18% 
JPM| JP Morgan Chase & Co. |5.6|248.12|242.85|2.31|24.3|EQUITY|1.25|2025-01-06| Payout Ratio falls within the  low risk  range (<35%). |2025-04-04|2025-04-29|2025-04-11|2025-04-30|2025-04-03| This is line with previous dividend. |  JPM first paid dividend 42 years ago but dividends are growing only for 12 years. Dividend Growth Rate for last 5 years is 6.79% 
V| Visa Inc. |2.36|349.86|342.85|0.69|21.67|EQUITY|0.59|2025-02-11| Payout Ratio falls within the  low risk  range (<35%). |2025-02-11|2025-03-02|2025-04-21|2025-03-03|2025-02-10| This is line with previous dividend. |  V first paid dividend 18 years ago but dividends are growing only for 16 years. Dividend Growth Rate for last 5 years is 14.48% 
