news_title,weblink,source,date,symbol,original_link,sentiment_score,sentiment
"AMZN, AAPL and GOOG Forecast – Major US Stocks Look Mixed - FX Empire",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOQzBYNHdTLWVyVDRIY2NkS0FQd2lRdTJMVGVrb09BZ1h6a3Q1MlM0TjVvM2Zab2F4THVxVTdvLUtMSEF1MURfdnN2Y1ZqSVE0NzFESmVqVFk2dHZYTjROaUU5SFZpZ2RJREdfZFhEcDJzMkhXcTVCSFJYZ2xaazF4LWRFYV9YNU9ITHREMU5YTGJKazNoY1JfWmk2N0FWWF9kb3gtaG5TWjc?oc=5,FX Empire,2025-03-03 13:40:00,AAPL,https://www.fxempire.com/forecasts/article/amzn-aapl-and-goog-forecast-major-us-stocks-look-mixed-1501377,0.0692948717948718,Positive
Guru Fundamental Report for AAPL - Nasdaq,https://news.google.com/rss/articles/CBMicEFVX3lxTFAxYXhWT19VMEc3TVBZS1lTMS1hU3VXbWh3MTNqSDBYMlZrVWtVSXhsdjVaa0QwWDYzTEMzVmJ5cTBpcHE2Tk8xU0cwRE10NnVSUFBDSTluX0RHQVdwdllSelFZa094QXdhdEJKd1hSSkQ?oc=5,Nasdaq,2025-03-02 14:00:00,AAPL,chrome-error://chromewebdata/,N/A,Unknown
Apple: This Valuation Exercise Supports A Buy (NASDAQ:AAPL) - Seeking Alpha,https://news.google.com/rss/articles/CBMijgFBVV95cUxOZVBlcGhlNEQ0VmJlaXRBelJGRndqeDlmNS1GSHNfWVQta1pOd1o4eGF2RXpILVlFOHgwZU4tM2puWmFBQi1VLTNQejdrUExwTEdmUDVIX2k5akRjWUd2Mk9tMDlwdnpBSHU2RDV1Ni1rRVVFQ214RHJNQVdidTdaNVF3dEJJbVhGX3FuWTZB?oc=5,Seeking Alpha,2025-03-04 13:00:00,AAPL,https://seekingalpha.com/article/4764070-apple-this-valuation-exercise-supports-a-buy,0.08947368421052633,Positive
Wedbush Sticks to Buy Rating on Apple (AAPL) Stock as Alibaba Deal Unlocks AI Growth - TipRanks,https://news.google.com/rss/articles/CBMisgFBVV95cUxPdHhRUTByX2FmRUFJMHk3UmJmRTBqUnN0Vi1OTl9hWTNmM0REMFA1bTFVVHJPQXVGME8ya3hTQlA4UktPOUptVG85R1BLR1phVFFoMDVzbU5Bamhlc2JGUUFqM1dZRU1lMzMwbTB1M1hrUk9VWVpBcEhweDRmWlRSWHNQN3RaTFZHUkFMWXBPNEVaTzdkWFR5SmZfWThVcFdyWFJIYUpLd1BLTDZ2MGRQUlFn?oc=5,TipRanks,2025-03-04 09:58:50,AAPL,https://www.tipranks.com/news/wedbush-sticks-to-buy-rating-on-apple-aapl-stock-as-alibaba-deal-unlocks-ai-growth,-0.025942460317460312,Negative
Jefferies Analysts Warn of Weaker iPhone 16e Demand: Is Apple (AAPL) Facing Growth Challenges in China? - Insider Monkey,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNRWV1UTJQSE9LRkhaMWVpbmZrQXpuR2NPWnR2Vnc3X1RodUpZaElEdng0WlFRZC1kMUJSS24xREswS0trcGNYNHRHYTl6b1VLMnVmaVo3VkxDNHZUd0JVbkNGcGVSQVd5NFZjaFZyNExxMzBqc3dJQWlpNThYTmRVYktRSTczeDFXS3c1LU5CLUxvV2pLRXc0UEx0M0ozcHBCSnoxNGE5dkJKN3dnQVZYeFkyUXEyTFhiVkY1ajQ0aG50VHJQLUgxbENxeDJ6Y3Z6OXloMHFxNWZwVmvSAeMBQVVfeXFMTUNsQ2FoMTF6ZWxLRWxpbHo3WFRqN0ZRZVVHMVZ6dVRfTnNyd21aQU56NVFFR3MzMWYyQm15YW4yZHB6NjVfa25uSDM1V2xlUUdRRWFkQ2VoaTZJdjlsVEVIbFdTbW5Hb29ZLTJPYy1TSHloMnFfeVNZUFVJUDI5SUFvM191VXp6QTRmd0U0YjhPajBzeFl3Rlh0Qy1TX2Utd0dVQmJwQWtqdXRIRE9nNWJrdklnTTcxLW1lZ1VMa1BGTDNWWGRFakFNMkVKai05OGxJRTdUT0F4dWRLLWROOXFGWTQ?oc=5,Insider Monkey,2025-03-04 08:37:03,AAPL,https://www.insidermonkey.com/blog/jefferies-analysts-warn-of-weaker-iphone-16e-demand-is-apple-aapl-facing-growth-challenges-in-china-1470742/,0.0999025271265531,Positive
Apple Stock (AAPL) - Next Key Price Levels - ForexLive,https://news.google.com/rss/articles/CBMimgFBVV95cUxOYV9qSlVjZUplbUxLLXFQX3hSX3BYOXY5UUl1Nld4bjhnRkphSXJldXhoMWJHLXF1RlcxTFJoai1YWE1oYWlCY09rblFNbFJhVjNndVptWE1NLUVOWEVxZ2VvVm9RbmFOaEJFZFlHY2FtZlNOR1dHU1FHblgycDJNYnNkZHBTNXplcW5XZU5TNERFOVlCWXBsMmJR0gGfAUFVX3lxTFBJN1BxQVZuNWs0V0hEZGFpdU1rYkVQS2w4blRmN3VKNXhqR3o4MDNJMWJlcVRnWEFZQVhaejNkVnF4czhvcDJXQXl1QlhiUHJYZHdsRjdHLTFSVUE0cmpfdUc0N2lMaEVFYXhzWjRyUENmeUFhQmhPT25qdG5pTDVtVGVNRDIxVUgyNkYzckZJV3F3N3VFSURwU2FnODd0RQ?oc=5,ForexLive,2025-03-03 08:51:00,AAPL,https://www.forexlive.com/stock-market-update/apple-stock-aapl-next-key-price-levels-20250303/,0.07065270935960592,Positive
Apple Inc. (AAPL): The Ultimate Money-Making Stock for 2025? - Apna Kal,https://news.google.com/rss/articles/CBMikAFBVV95cUxNNGxTWjVLbG5JQzJhX1JnTi1FalJvb2tIclNhSFl0eEpjRjVFS3Jvb0dIb2kwdDlnRV9FR1JsSXloSnktNnJoOWRWZGFDTEFhT3poWkRvUW42RjFNX2diNjFleGEzNmluZ293dGJldHZkYncxeDR0b2Z3bWt5MG82LWNNX3o4Qmxlb1FqZk1oZjQ?oc=5,Apna Kal,2025-03-02 01:10:37,AAPL,chrome-error://chromewebdata/,N/A,Unknown
What Analysts Are Saying About Apple Stock - Benzinga,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOb2psVXQ4UTd3YXhDTUVIWlhHSHV3NVVrLTJXZ09OUHZwdkptRk5qemw3V0RoX0ZicDl5SkU1SU1xNUhWUHJRRnFoSGwtM2lRbkwwU1RFSUNPV1Z3Z3RqNUh1Wmx5bFFob0M2bkFadG1wQUxBdkdhME9sM1VqSElHUGp6RXZBUGRmVWhTek5ZUDN4RFBZUXFJbldGM1A4TThjUmUyVDZPbzFhRGc?oc=5,Benzinga,2025-03-03 21:01:29,AAPL,https://www.benzinga.com/insights/analyst-ratings/25/03/44093658/what-analysts-are-saying-about-apple-stock,0.15172571301247773,Positive
"Apple (AAPL) Makes an Interesting Gamble on the iPhone 16e, and It's All About China - 24/7 Wall St.",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPT29iS3lDaW90TDJtaGI1anhDNjlfWE9qSkdJT0F2ZDhqTC1PckRmNU1lZzhLTWx1dlAxbGgtel9SejVuWFJXOXQxR1p5UWF3SzhHcldhVjBFTWVIVlRsQmc4T2VuNTNaNHYwTHdWWUl4WUw4emNubE1ENDdvR3VKVXFyM0pZREVfbmpYNmVhal9aNVBjVWtEMzJCUFV4aFRiMG5fTTkxbG1ub0xXRlJtMkFrejIydkwxOWVPNk9KRDh6UQ?oc=5,24/7 Wall St.,2025-03-04 15:51:27,AAPL,https://247wallst.com/investing/2025/03/04/apple-aapl-makes-an-interesting-gamble-on-the-iphone-16e-and-its-all-about-china/,N/A,Unknown
Apple (AAPL) introduces iPad Air with powerful M3 chip and new Magic Keyboard - StreetInsider.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQbmRIdVhxNER6LWJOV2Y3WHV0WUZWdHJGWHAzY0tsNmFtUVJlQ3o4c2c0V3NpWDNZT0FaOXpyOC1BaTlJV0l4cXRQbnRTZ0dYWVdIWlNvVDJNYk1oLVJUTmZoOTFiOHpnSEwtaWJnU3VxaDNHMTh3MjlaOXZHM3ZWekp5NFVBeTF1NENpZEtQeW1renQ5VVA0X2ZGazNoUzZRZ29SYklfbVhSejJKU19ZUHNDSk5ETDc4N1NsTUNBcEJHUzh1Mzlnb0Y3aExYdHY0WGctU21kTQ?oc=5,StreetInsider.com,2025-03-04 14:01:34,AAPL,https://www.streetinsider.com/Corporate+News/Apple+%28AAPL%29+introduces+iPad+Air+with+powerful+M3+chip+and+new+Magic+Keyboard/24445470.html,N/A,Unknown
