,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),stock,report_date,Earnings_Date,day
0,2025-03-26 19:00:00-05:00,0.98,,,WRB,2025-03-27,2025-03-26 07:00:00 PM,Monday
1,2025-03-26 19:00:00-05:00,0.49,,,T,2025-03-27,2025-03-26 07:00:00 PM,Monday
2,2025-03-26 19:00:00-05:00,0.94,,,NUE,2025-03-27,2025-03-26 07:00:00 PM,Monday
3,2025-03-26 19:00:00-05:00,0.77,,,BRO,2025-03-27,2025-03-26 07:00:00 PM,Monday
4,2025-03-27 19:00:00-05:00,1.75,,,GM,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
5,2025-03-27 19:00:00-05:00,2.51,,,PKG,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
6,2025-03-27 19:00:00-05:00,6.61,,,LMT,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
7,2025-03-27 19:00:00-05:00,1.5,,,KMB,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
8,2025-03-27 19:00:00-05:00,0.48,,,IVZ,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
9,2025-03-27 19:00:00-05:00,1.5,,,RCL,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
10,2025-03-27 19:00:00-05:00,1.7,,,PCAR,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
11,2025-03-27 19:00:00-05:00,3.87,,,SYK,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
12,2025-03-27 19:00:00-05:00,1.85,,,SYF,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
13,2025-03-27 19:00:00-05:00,127.85,,,NVR,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
14,2025-03-27 19:00:00-05:00,3.36,,,FFIV,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
15,2025-03-27 19:00:00-05:00,5.33,,,CB,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
16,2025-03-27 19:00:00-05:00,0.51,,,BXP,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
17,2025-03-27 19:00:00-05:00,0.93,,,SYY,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
18,2025-03-27 19:00:00-05:00,-1.65,,,BA,2025-03-28,2025-03-27 07:00:00 PM,Tuesday
19,2025-03-28 19:00:00-05:00,9.16,,,AMP,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
20,2025-03-28 19:00:00-05:00,2.3,,,ADP,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
21,2025-03-28 19:00:00-05:00,3.04,,,NSC,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
22,2025-03-28 19:00:00-05:00,0.74,,,NDAQ,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
23,2025-03-28 19:00:00-05:00,3.95,,,MSCI,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
24,2025-03-28 19:00:00-05:00,3.15,,,MSFT,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
25,2025-03-28 19:00:00-05:00,6.75,,,META,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
26,2025-03-28 19:00:00-05:00,4.12,,,LII,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
27,2025-03-28 19:00:00-05:00,1.1,,,CHRW,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
28,2025-03-28 19:00:00-05:00,3.77,,,IBM,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
29,2025-03-28 19:00:00-05:00,1.44,,,HES,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
30,2025-03-28 19:00:00-05:00,0.56,,,GLW,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
31,2025-03-28 19:00:00-05:00,4.42,,,GD,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
32,2025-03-28 19:00:00-05:00,2.14,,,DHR,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
33,2025-03-28 19:00:00-05:00,0.58,,,LVS,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
34,2025-03-28 19:00:00-05:00,1.82,,,WM,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
35,2025-03-28 19:00:00-05:00,0.88,,,LRCX,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
36,2025-03-28 19:00:00-05:00,1.66,,,ROK,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
37,2025-03-28 19:00:00-05:00,2.26,,,TMUS,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
38,2025-03-28 19:00:00-05:00,0.95,,,OTIS,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
39,2025-03-28 19:00:00-05:00,3.1,,,PGR,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
40,2025-03-28 19:00:00-05:00,0.68,,,SBUX,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
41,2025-03-28 19:00:00-05:00,0.91,,,TER,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
42,2025-03-28 19:00:00-05:00,0.74,,,TSLA,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
43,2025-03-28 19:00:00-05:00,11.65,,,URI,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
44,2025-03-28 19:00:00-05:00,2.62,,,RJF,2025-03-29,2025-03-28 07:00:00 PM,Wednesday
45,2025-03-29 19:00:00-05:00,5.94,,,TMO,2025-03-30,2025-03-29 07:00:00 PM,Thursday
46,2025-03-29 19:00:00-05:00,7.84,,,CI,2025-03-30,2025-03-29 07:00:00 PM,Thursday
47,2025-03-29 19:00:00-05:00,6.23,,,PH,2025-03-30,2025-03-29 07:00:00 PM,Thursday
