phone|website|industry|sector|longBusinessSummary|fullTimeEmployees|auditRisk|boardRisk|compensationRisk|shareHolderRightsRisk|overallRisk|governanceEpochDate|compensationAsOfEpochDate|priceHint|previousClose|open|dayLow|dayHigh|regularMarketPreviousClose|regularMarketOpen|regularMarketDayLow|regularMarketDayHigh|dividendRate|dividendYield|exDividendDate|payoutRatio|fiveYearAvgDividendYield|beta|trailingPE|forwardPE|volume|regularMarketVolume|averageVolume|averageVolume10days|averageDailyVolume10Day|bid|ask|bidSize|askSize|marketCap|fiftyTwoWeekLow|fiftyTwoWeekHigh|priceToSalesTrailing12Months|fiftyDayAverage|twoHundredDayAverage|trailingAnnualDividendRate|trailingAnnualDividendYield|currency|enterpriseValue|profitMargins|floatShares|sharesOutstanding|sharesShort|sharesShortPriorMonth|sharesShortPreviousMonthDate|dateShortInterest|sharesPercentSharesOut|heldPercentInsiders|heldPercentInstitutions|shortRatio|shortPercentOfFloat|impliedSharesOutstanding|bookValue|priceToBook|lastFiscalYearEnd|nextFiscalYearEnd|mostRecentQuarter|earningsQuarterlyGrowth|netIncomeToCommon|trailingEps|forwardEps|enterpriseToRevenue|enterpriseToEbitda|52WeekChange|SandP52WeekChange|lastDividendValue|lastDividendDate|exchange|quoteType|symbol|shortName|firstTradeDateEpochUtc|timeZoneFullName|timeZoneShortName|uuid|messageBoardId|gmtOffSetMilliseconds|currentPrice|targetHighPrice|targetLowPrice|targetMeanPrice|targetMedianPrice|recommendationMean|recommendationKey|numberOfAnalystOpinions|totalCash|totalCashPerShare|ebitda|totalDebt|quickRatio|currentRatio|totalRevenue|debtToEquity|revenuePerShare|returnOnAssets|returnOnEquity|grossProfits|freeCashflow|operatingCashflow|earningsGrowth|revenueGrowth|grossMargins|ebitdaMargins|operatingMargins|financialCurrency|trailingPegRatio|address|irWebsite|lastSplitFactor|lastSplitDate|address2|fax|industrySymbol
973 822 7000|https://www.zoetis.com|Drug Manufacturers - Specialty & Generic|Healthcare|Zoetis Inc. engages in the discovery, development, manufacture, and commercialization of animal health medicines, vaccines, and diagnostic products and services in the United States and internationally. The company commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep and others; and companion animals comprising dogs, cats, and horses. It also offers parasiticides, vaccines, dermatology, other pharmaceutical, anti-infectives, animal health diagnostics, and medicated feed additives. In addition, the company provides animal health diagnostics, including point-of-care diagnostic products, instruments and reagents, rapid immunoassay tests, reference laboratory kits and services, and blood glucose monitors; and other non-pharmaceutical products, which include nutritionals, as well as products and services in biodevices, genetic tests, and precision animal health. It markets its products to veterinarians, livestock producers, and pet owners. The company has collaboration Blacksmith Medicines, Inc. to discover and develop novel antibiotics for animal health. Zoetis Inc. was founded in 1952 and is headquartered in Parsippany, New Jersey.|14100.0|3.0|1.0|2.0|7.0|2.0|1735689600.0|1703980800.0|2|169.37|168.895|165.81|169.51|169.37|168.895|165.81|169.51|2.0|0.0121|1737417600.0|0.3141|0.69|0.896|31.123827|25.872732|4656391|4656391|2612145|2932520|2932520|161.13|166.66|1400.0|800.0|74843758592|144.8|200.53|8.177858|171.475|176.0342|1.671|0.009865974|USD|79898763264.0|0.26552|450407054|451164992|6989508|5475890|1732838400|1735603200|0.0155|0.00204|0.95705|2.93|0.0155|451164992|11.591|14.311967|1703980800|1735603200|1727654400|0.144|2430000128|5.33|6.34|8.73|21.227|-0.13237447|0.23631513|0.432|1730332800.0|NYQ|EQUITY|ZTS|Zoetis Inc.|1359729000|America/New_York|EST|e8724ae7-5c8b-3a4a-927d-2a11631a1cf4|finmb_215548781|-18000000|165.89|248.0|178.13|210.65823|210.0|1.75|buy|17.0|1714000000.0|3.799|3764000000.0|6775000064.0|1.836|3.691|9152000000|129.442|20.057|0.14664|0.47303|6415000064|1872249984.0|2944999936.0|0.163|0.11|0.70094|0.41127998|0.38526002|USD|2.5803|10 Sylvan Way Parsippany NJ United States-07054||||||
574 373 3333|https://www.zimmerbiomet.com|Medical Devices|Healthcare|Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates as a medical technology company worldwide. The company designs, manufactures, and markets orthopedic reconstructive products, such as knee and hip products; S.E.T. products, including sports medicine, biologics, foot and ankle, extremities, and trauma products; craniomaxillofacial and thoracic products comprising face and skull reconstruction products, as well as products that fixate and stabilize the bones of the chest to facilitate healing or reconstruction after open heart surgery, trauma, or for deformities of the chest. It also offers robotic, surgical, and bone cement products. The company's products and solutions are used to treat patients suffering from disorders of, or injuries to, bones, joints, or supporting soft tissues. It serves orthopedic surgeons, neurosurgeons, hospitals, stocking distributors, healthcare dealers, and other specialists, as well as agents, healthcare purchasing organizations, or buying groups. The company was formerly known as Zimmer Holdings, Inc. and changed its name to Zimmer Biomet Holdings, Inc. in June 2015. Zimmer Biomet Holdings, Inc. was founded in 1927 and is headquartered in Warsaw, Indiana.|18000.0|3.0|2.0|6.0|4.0|2.0|1735689600.0|1703980800.0|2|108.94|108.99|108.4723|109.97|108.94|108.99|108.4723|109.97|0.96|0.0088|1735516800.0|0.1832|0.76|1.021|20.908398|12.808492|869263|869263|1552855|1697700|1697700|109.56|110.3|800.0|800.0|21810546688|100.67|133.9|2.871509|108.0318|110.88545|0.96|0.00881219|USD|27888715776.0|0.14265001|198548157|199074000|7336497|6644539|1732838400|1735603200|0.0369|0.0014200001|0.93237996|4.89|0.0419|199074000|61.997|1.7671822|1703980800|1735603200|1727654400|0.531|1083500032|5.24|8.6|3.672|10.905|-0.10628927|0.23631513|0.24|1735516800.0|NYQ|EQUITY|ZBH|Zimmer Biomet Holdings, Inc.|996067800|America/New_York|EST|2f40c775-c890-3bae-80b9-c66c639207f6|finmb_264048|-18000000|109.56|150.0|105.0|124.50462|121.5|2.53333|hold|26.0|569000000.0|2.858|2557400064.0|6638700032.0|0.574|1.362|7595500032|53.611|37.006|0.0461|0.08713|5460800000|1221187456.0|1581500032.0|0.597|0.04|0.71895|0.3367|0.17997|USD|1.4373|345 East Main Street Warsaw IN United States-46580|http://investor.zimmer.com/|103:100|1646092800.0|||
847 634 6700|https://www.zebra.com|Communication Equipment|Technology|Zebra Technologies Corporation, together with its subsidiaries, provides enterprise asset intelligence solutions in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Asset Intelligence & Tracking, and Enterprise Visibility & Mobility. The company designs, manufactures, and sells printers that produce labels, wristbands, tickets, receipts, and plastic cards; dye-sublimination thermal card printers that produce images, which are used for personal identification, access control, and financial transactions; radio frequency identification device (RFID) printers that encode data into passive RFID transponders; accessories and options for printers, including carrying cases, vehicle mounts, and battery chargers; stock and customized thermal labels, receipts, ribbons, plastic cards, and RFID tags for printers; and temperature-monitoring labels primarily used in vaccine distribution. It also provides various maintenance, technical support, repair, and managed and professional services; fixed readers, RFID enabled mobile computers, and RFID sleds; tags, sensors, exciters, middleware software, and application software; and physical inventory management solutions, and rugged and enterprise-grade mobile computing products and accessories, as well as real-time location systems and services. In addition, the company offers barcode scanners and imagers, RFID readers, industrial machine vision cameras, and fixed industrial scanners; workforce management, workflow execution and task management, and prescriptive analytics, as well as communications and collaboration solutions; and cloud-based software subscriptions, retail, and robotics automation solutions. The company serves retail and e-commerce, manufacturing, transportation and logistics, healthcare, public sector, and other industries through direct sales force, and network of channel partners. The company was founded in 1969 and is headquartered in Lincolnshire, Illinois.|9750.0|1.0|8.0|10.0|9.0|10.0|1735689600.0|1703980800.0|2|402.72|406.04|402.29|407.29|402.72|406.04|402.29|407.29||||||1.645|55.273838|25.353752|270572|270572|376872|370370|370370|||||20926521344|233.95|413.44|4.494528|396.5004|345.92645|||USD|22621532160.0|0.082040004|51178735|51580000|619872|561212|1732838400|1735603200|0.012|0.00777|0.91896003|2.03|0.0137|51580000|66.373|6.1125755|1703980800|1735603200|1727481600||382000000|7.34|16.04|4.859|28.171|0.5937071|0.23631513|||NMS|EQUITY|ZBRA|Zebra Technologies Corporation|682263000|America/New_York|EST|53165cfc-fc73-3828-9c77-43899ee16f76|finmb_393488|-18000000|405.71|468.0|365.0|419.59528|427.0|2.10526|buy|17.0|676000000.0|13.106|803000000.0|2371000064.0|0.887|1.366|4656000000|69.307|90.49|0.05234|0.11873999|2212999936|666750016.0|848000000.0||0.313|0.47529998|0.17247|0.15618|USD|0.86|3 Overlook Point Lincolnshire IL United States-60069|http://www.zebra.com/id/zebra/na/en/index/about_zebra/investor_relations.html|3:2|1093478400.0|||
502 874 8300|https://www.yum.com|Restaurants|Consumer Cyclical|Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division segments. It also operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.|35000.0|2.0|1.0|5.0|7.0|3.0|1735689600.0|1703980800.0|2|126.24|126.91|125.19|127.345|126.24|126.91|125.19|127.345|2.68|0.0214|1733097600.0|0.48880002|1.82|1.095|23.4243|20.615166|1251851|1251851|1741350|1892020|1892020|124.8|125.82|800.0|800.0|34973302784|122.13|143.2|4.8419356|133.9802|134.7865|0.67|0.0053073512|USD|46486286336.0|0.21127|278438361|279072000|6030976|6953879|1732838400|1735603200|0.0216|0.0013799999|0.87192|3.95|0.0216|281120992|-27.407||1703980800|1735603200|1727654400|-0.082|1526000000|5.35|6.08|6.436|17.824|-0.043796718|0.23631513|0.67|1733097600.0|NYQ|EQUITY|YUM|Yum! Brands, Inc.|874503000|America/New_York|EST|b8fcb647-8cfb-3592-a2bf-1d9e21aa2452|finmb_365997|-18000000|125.32|162.0|130.0|143.90875|140.5|2.48276|buy|24.0|548000000.0|1.964|2608000000.0|12060999680.0|1.105|1.37|7223000064||25.636|0.24328||3510000128|1158499968.0|1624000000.0|-0.075|0.069|0.48595002|0.36106998|0.34447|USD|2.2528|1441 Gardiner Lane Louisville KY United States-40213|http://www.yum.com/investors/|1391:1000|1477958400.0|||
202 869 9150|https://www.xylem.com|Specialty Industrial Machinery|Industrials|Xylem Inc., together with its subsidiaries, engages in the design, manufacture, and servicing of engineered products and solutions worldwide. It operates through four segments: Water Infrastructure, Applied Water, Measurement & Control Solutions, and Integrated Solutions and Services. The Water Infrastructure segment offers products, including water, storm water, and wastewater pumps; controls and systems; filtration, disinfection, and biological treatment equipment; and mobile dewatering equipment and rental services under the ADI, Flygt, Godwin, Sanitaire, Magneto, Neptune Benson, Ionpure, Leopold, Wedeco, and Xylem Vue brands. The Applied Water segment provides pumps, valves, heat exchangers, controls, and dispensing equipment systems under the Goulds Water Technology, Bell & Gossett, A-C Fire Pump, Standard Xchange, Lowara, Jabsco, Xylem Vue, and Flojet brands. The Measurement & Control Solutions segment offers smart meters, networked communication devices, data analytics, test equipment, controls, sensor devices, software and managed services, and critical infrastructure services; and software and services, including cloud-based analytics, remote monitoring and data management, leak detection, condition assessment, asset management, and pressure monitoring solutions, as well as testing equipment. This segment sells its products under the Pure Technologies, Sensus, Smith Blair, WTW, Xylem Vue, and YSI brands. The Integrated Solutions and Services segment provides maintenance services, mobile services, digital outsourced solutions, wastewater systems, environmental remediation, odor and corrosion control, filtration, reverse osmosis, ion exchange, and deionization under Aquapro, WaterOne, and Ion Pure brands. Xylem Inc. was formerly known as ITT WCO, Inc. and changed its name to Xylem Inc. in May 2011. Xylem Inc. was incorporated in 2011 and is headquartered in Washington, District of Columbia.|23000.0|1.0|2.0|6.0|4.0|2.0|1735689600.0|1703980800.0|2|118.95|119.98|119.25|120.83|118.95|119.98|119.25|120.83|1.44|0.012|1732579200.0|0.4052|1.16|1.05|34.38506|25.437601|1396460|1396460|1414913|1331780|1331780|117.56|121.84|1200.0|800.0|29070798848|111.66|146.08|3.4509494|121.4282|131.24745|1.41|0.01185372|USD|30191763456.0|0.098529994|241154201|242944992|3637012|3394486|1732838400|1735603200|0.015|0.0064600003|0.93951|2.74|0.0191|242944992|43.593|2.7449362|1703980800|1735603200|1727654400|0.428|830000000|3.48|4.75|3.584|17.876|0.055388927|0.23631513|0.36|1732579200.0|NYQ|EQUITY|XYL|Xylem Inc.|1318512600|America/New_York|EST|0b3e315c-d662-3b77-8ee7-b43a259aa3cf|finmb_118218449|-18000000|119.66|168.0|113.0|144.77353|147.0|2.0|buy|17.0|989000000.0|4.071|1688999936.0|2103000064.0|1.314|1.956|8424000000|19.84|34.788|0.04429|0.08081|3111000064|822875008.0|1143000064.0|0.413|0.013|0.3693|0.2005|0.13498001|USD|2.2509|300 Water Street SE Washington DC United States-20003||||Suite 200||
612 330 5500|https://www.xcelenergy.com|Utilities - Regulated Electric|Utilities|Xcel Energy Inc., through its subsidiaries, engages in the generation, purchasing, transmission, distribution, and sale of electricity. It operates through Regulated Electric Utility, Regulated Natural Gas Utility, and All Other segments. The company generates electricity through wind, nuclear, hydroelectric, biomass, and solar energy sources, as well as coal, natural gas, oil, wood, and refuse-derived fuels. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects and nonregulated assets, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota.|11311.0|8.0|5.0|4.0|1.0|2.0|1735689600.0|1703980800.0|2|66.2|66.53|65.97|66.885|66.2|66.53|65.97|66.885|2.19|0.0328|1736121600.0|0.64169997|2.93|0.398|19.79822|17.446466|3235025|3235025|3839645|3697000|3697000|||||38313426944|46.79|73.38|2.783799|68.2372|60.64195|2.163|0.03267372|USD|66623410176.0|0.13667|573317216|574241984|8493382|7971307|1732838400|1735603200|0.0148|0.00187|0.81705004|2.42|0.016900001|574241984|33.708|1.9793521|1703980800|1735603200|1727654400|0.04|1880999936|3.37|3.83|4.841|12.091|0.1321907|0.23631513|0.548|1736121600.0|NMS|EQUITY|XEL|Xcel Energy Inc.|99153000|America/New_York|EST|d977fcfc-aff2-3286-97db-8771b2b3be45|finmb_527542|-18000000|66.72|80.0|62.0|72.38588|72.0|1.88889|buy|17.0|1556000000.0|2.71|5510000128.0|29866000384.0|0.64|0.934|13763000320|154.33|24.665|0.02564|0.10262|6253000192|-2487249920.0|4951000064.0|0.018|-0.005|0.45433|0.40035|0.25165|USD|2.1566|414 Nicollet Mall Minneapolis MN United States-55401|http://investors.xcelenergy.com/corporateprofile.aspx?iid=4025308|2:1|896745600.0|||
702 770 7555|https://www.wynnresorts.com|Resorts & Casinos|Consumer Cyclical|Wynn Resorts, Limited designs, develops, and operates integrated resorts. The company operates through four segments: Wynn Palace, Wynn Macau, Las Vegas Operations, and Encore Boston Harbor. The Wynn Palace segment operates private gaming salons and sky casinos; a luxury hotel tower with suites, and villas, including a health club, spa, salon, and pool; food and beverage outlets; retail space; meeting and convention space; and performance lake and floral art displays. The Wynn Macau segment operates casino space with private gaming salons, sky casinos, and a poker room; a luxury hotel tower, that include health clubs, spas, a salon, and a pool; food and beverage outlets; retail space; meeting and convention space; and Chinese zodiac-inspired ceiling attractions. The Las Vegas Operations segment operates casino space with private gaming salons, a sky casino, a poker room, and a race and sports book; a luxury hotel tower with suites, and villas, including swimming pools, private cabanas, full-service spas and salons, and a wedding chapel; food and beverage outlets; meeting and convention space; retail space; and theaters, nightclubs, a beach club. The Encore Boston Harbor segment operates casino space with gaming areas, and a poker room; a luxury hotel tower including a spa and salon; food and beverage outlets and a nightclub; retail space; meeting and convention space; and a waterfront park, floral displays, and water shuttle service. Wynn Resorts, Limited was incorporated in 2002 and is based in Las Vegas, Nevada.|27800.0|7.0|3.0|5.0|10.0|8.0|1735689600.0|1703980800.0|2|82.5|83.1|83.0|85.19|82.5|83.1|83.0|85.19|1.0|0.0117999995|1731628800.0|0.12|2.28|1.802|10.164466|17.081585|3339727|3339727|2371621|2450860|2450860|||||9298035712|71.63|110.38|1.304141|88.8766|89.66515|1.0|0.012121212|USD|19430866944.0|0.1337|91614897|109815000|5428855|4838746|1732838400|1735603200|0.0494|0.2551|0.68887|2.93|0.0497|109815000|-2.583||1703980800|1735603200|1727654400||953262016|8.33|5.02|2.725|10.622|-0.080373645|0.23631513|0.25|1731628800.0|NMS|EQUITY|WYNN|Wynn Resorts, Limited|1035552600|America/New_York|EST|5ae6a65b-05a9-36c6-8510-d06d0450b198|finmb_3449701|-18000000|84.67|135.0|86.0|114.45556|115.1|1.52632|buy|18.0|2407289088.0|22.118|1829332992.0|13406977024.0|1.019|1.528|7129624064||64.328|0.05278||4925602816|-627324032.0|1388504064.0||0.013|0.69086|0.25658|0.09162|USD|2.3767|3131 Las Vegas Boulevard South Las Vegas NV United States-89109||||||
925 951 9000|https://www.workday.com|Software - Application|Technology|Workday, Inc. provides enterprise cloud applications in the United States and internationally. Its applications help its customers to plan, execute, analyze, and extend to other applications and environments to manage their business and operations. The company offers a suite of financial management applications to maintain accounting information in the general ledger; manage financial processes, such as payables and receivables; identify real-time financial, operational, and management insights; enhance financial consolidation; reduce time-to-close; promote internal control and auditability; and achieve consistency across finance operations. It also provides spend management solutions that help organizations to streamline supplier selection and contracts, manage indirect spend, and build and execute sourcing events, such as requests for proposals; expense management solutions to submit and approve expenses; and a suite of human capital management applications that enables HR teams to hire, onboard, pay, develop, reskill, and provide employee experiences. In addition, the company offers planning applications; and applications for analytics and reporting comprising augmented analytics to surface insights to the line of business in simple-to-understand stories, machine learning to drive efficiency and automation, and benchmarks to compare performance against other companies. Further, it provides supply chain and inventory solutions to healthcare organizations; solutions to manage the end-to-end student and faculty lifecycle; and Workday Extend for customers and their developers to build custom applications. It serves professional and business services, financial services, healthcare, education, government, technology, media, retail, and hospitality industries. The company was formerly known as North Tahoe Power Tools, Inc. and changed its name to Workday, Inc. in July 2005. Workday, Inc. was incorporated in 2005 and is headquartered in Pleasanton, California.|19908.0|3.0|8.0|10.0|10.0|9.0|1730419200.0|1735603200.0|2|250.7|255.34|248.8079|256.32|250.7|255.34|248.8079|256.32||||||1.352|40.991787|29.812355|1578270|1578270|3331508|2064950|2064950|||||66404241408|199.81|311.28|8.445153|261.8494|244.21245|||USD|67591348224.0|0.19598|210131750|214000000|4512362|4416271|1728950400|1731628800|0.017|0.01232|0.92801005|2.79|0.021300001|266000000|30.63|8.15018|1706659200|1738281600|1722384000|0.671|1540999936|6.09|8.3|8.596|106.276|-0.13881606|0.23631513|||NMS|EQUITY|WDAY|Workday, Inc.|1350048600|America/New_York|EST|ee0b6181-c505-339e-b6b1-1498fe62d99c|finmb_23815047|-18000000|249.64|350.0|242.0|295.76428|300.0|1.84615|buy|35.0|7373000192.0|27.823|636000000.0|3364000000.0|1.93|2.039|7863000064|40.312|29.81|0.01426|0.21080999|5958000128|2106953984.0|2388999936.0|0.661|0.167|0.75773|0.08089|0.053239997|USD|2.1081|6110 Stoneridge Mall Road Pleasanton CA United States-94588|||||925 951 9001|
800-945-5426|https://www.williams.com|Oil & Gas Midstream|Energy|The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission & Gulf of Mexico, Northeast G&P, West, and Gas & NGL Marketing Services segments. The Transmission & Gulf of Mexico segment comprises natural gas pipelines; Transco, Northwest pipeline, MountainWest, and related natural gas storage facilities; and natural gas gathering and processing, and crude oil production handling and transportation assets in the Gulf Coast region. The Northeast G&P segment engages in the midstream gathering, processing, and fractionation activities in the Marcellus Shale region primarily in Pennsylvania and New York, and the Utica Shale region of eastern Ohio. The West segment consists of gas gathering, processing, and treating operations in the Rocky Mountain region of Colorado and Wyoming, the Barnett Shale region of north-central Texas, the Eagle Ford Shale region of South Texas, the Haynesville Shale region of northwest Louisiana, the Mid-Continent region that includes the Anadarko and Permian basins, and the DJ Basin of Colorado; and operates natural gas liquid (NGL) fractionation and storage facilities in central Kansas near Conway. The Gas & NGL Marketing Services segment provides wholesale marketing, trading, storage, and transportation of natural gas for natural gas utilities, municipalities, power generators, and producers; asset management services; and transports and markets NGLs. The company owns and operates 33,000 miles of pipelines. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma.|5601.0|3.0|1.0|2.0|6.0|2.0|1735689600.0|1483142400.0|2|59.18|59.07|58.68|59.595|59.18|59.07|58.68|59.595|1.9|0.0321|1734048000.0|0.7934|5.86|1.062|25.059322|27.978579|6769281|6769281|6775780|7184830|7184830|58.74|59.58|1200.0|1800.0|72092254208|32.65|60.36|6.954684|56.0718|46.6863|1.873|0.031649206|USD|100911357952.0|0.27754|1212319423|1219010048|17879736|14560154|1732838400|1735603200|0.0147|0.00404|0.88722|2.48|0.0164|1219010048|10.167|5.8168583|1703980800|1735603200|1727654400|0.08|2883000064|2.36|2.09|9.735|17.209|0.74094784|0.23631513|0.475|1734048000.0|NYQ|EQUITY|WMB|Williams Companies, Inc. (The)|378657000|America/New_York|EST|c0943023-1bdf-3272-9142-50ee62caa980|finmb_390225|-18000000|59.14|74.0|40.0|56.155|56.5|2.36364|buy|20.0|762000000.0|0.625|5864000000.0|27108999168.0|0.406|0.572|10366000128|182.368|8.507|0.04398|0.20583001|6290999808|1195124992.0|5568999936.0|0.077|0.045|0.60688996|0.5657|0.32817|USD|9.8976|One Williams Center Tulsa OK United States-74172|http://www.b2i.us/profiles/investor/fullpage.asp?BzID=630&to=cp&Nav=0&LangID=1&s=385&ID=13144|10000:8152|1325548800.0|||
206 539 3000|https://www.weyerhaeuser.com|REIT - Specialty|Real Estate|Weyerhaeuser Company, one of the world's largest private owners of timberlands, began operations in 1900. We own or control approximately 11 million acres of timberlands in the U.S. and manage additional timberlands under long-term licenses in Canada. We manage these timberlands on a sustainable basis in compliance with internationally recognized forestry standards. We are also one of the largest manufacturers of wood products in North America. Our company is a real estate investment trust. In 2022, we generated $10.2 billion in net sales and employed approximately 9,200 people who serve customers worldwide. Our common stock trades on the New York Stock Exchange under the symbol WY.|9300.0|2.0|2.0|2.0|6.0|2.0|1735689600.0|1703980800.0|2|30.03|30.12|30.04|30.54|30.03|30.12|30.04|30.54|0.8|0.026500002|1732838400.0|1.0822|2.75|1.428|41.36986|33.64003|4301719|4301719|3490703|3648380|3648380|29.97|30.54|1400.0|1300.0|21942777856|26.73|36.27|3.0518467|30.0252|30.78405|0.79|0.026307026|USD|26161776640.0|0.07427|724111621|726582016|8120933|8572616|1732838400|1735603200|0.0112|0.0028400002|0.8844|2.26|0.013300001|736966016|13.659|2.2109964|1703980800|1735603200|1727654400|-0.883|534000000|0.73|0.86|3.639|21.201|-0.09688997|0.23631513|0.2|1732838400.0|NYQ|EQUITY|WY|Weyerhaeuser Company|105283800|America/New_York|EST|05184b2f-ec44-3de3-abe5-d5f386d7e1eb|finmb_107633|-18000000|30.2|40.0|32.0|35.63636|35.0|1.75|buy|11.0|877000000.0|1.207|1234000000.0|5096000000.0|1.27|2.01|7190000128|51.335|9.859|0.02674|0.052989997|1351000064|491624992.0|1078000000.0|-0.882|-0.169|0.1879|0.17163|0.053540003|USD|10.8477|220 Occidental Avenue South Seattle WA United States-98104-7800|http://investor.weyerhaeuser.com/phoenix.zhtml?c=92287&p=irol-irhome|3:2|581299200.0|||
