Symbol,company_name,domain,LogoURL
MMM,3M,www.3m.com,https://logo.clearbit.com/www.3m.com
AOS,A. O. Smith,www.aosmith.com,https://logo.clearbit.com/www.aosmith.com
ABT,Abbott Laboratories,www.abbott.com,https://logo.clearbit.com/www.abbott.com
ABBV,AbbVie,www.abbvie.com,https://logo.clearbit.com/www.abbvie.com
ACN,Accenture,www.accenture.com,https://logo.clearbit.com/www.accenture.com
ADBE,Adobe Inc.,www.adobe.com,https://logo.clearbit.com/www.adobe.com
AMD,Advanced Micro Devices,www.amd.com,https://logo.clearbit.com/www.amd.com
AES,AES Corporation,www.aes.com,https://logo.clearbit.com/www.aes.com
AFL,Aflac,www.aflac.com,https://logo.clearbit.com/www.aflac.com
A,Agilent Technologies,www.agilent.com,https://logo.clearbit.com/www.agilent.com
APD,Air Products,www.airproducts.com,https://logo.clearbit.com/www.airproducts.com
ABNB,Airbnb,www.airbnb.com,https://logo.clearbit.com/www.airbnb.com
AKAM,Akamai Technologies,www.akamai.com,https://logo.clearbit.com/www.akamai.com
ALB,Albemarle Corporation,www.albemarle.com,https://logo.clearbit.com/www.albemarle.com
ARE,Alexandria Real Estate Equities,www.are.com,https://logo.clearbit.com/www.are.com
ALGN,Align Technology,www.aligntech.com,https://logo.clearbit.com/www.aligntech.com
ALLE,Allegion,www.allegion.com,https://logo.clearbit.com/www.allegion.com
LNT,Alliant Energy,www.alliantenergy.com,https://logo.clearbit.com/www.alliantenergy.com
ALL,Allstate,www.allstate.com,https://logo.clearbit.com/www.allstate.com
GOOGL,Alphabet Inc. (Class A),abc.xyz,https://logo.clearbit.com/abc.xyz
GOOG,Alphabet Inc. (Class C),abc.xyz,https://logo.clearbit.com/abc.xyz
MO,Altria,www.altria.com,https://logo.clearbit.com/www.altria.com
AMZN,Amazon,www.aboutamazon.com,https://logo.clearbit.com/www.aboutamazon.com
AMCR,Amcor,www.amcor.com,https://logo.clearbit.com/www.amcor.com
AEE,Ameren,www.amereninvestors.com,https://logo.clearbit.com/www.amereninvestors.com
AEP,American Electric Power,www.aep.com,https://logo.clearbit.com/www.aep.com
AXP,American Express,www.americanexpress.com,https://logo.clearbit.com/www.americanexpress.com
AIG,American International Group,www.aig.com,https://logo.clearbit.com/www.aig.com
AMT,American Tower,www.americantower.com,https://logo.clearbit.com/www.americantower.com
AWK,American Water Works,www.amwater.com,https://logo.clearbit.com/www.amwater.com
AMP,Ameriprise Financial,www.ameriprise.com,https://logo.clearbit.com/www.ameriprise.com
AME,Ametek,www.ametek.com,https://logo.clearbit.com/www.ametek.com
AMGN,Amgen,www.amgen.com,https://logo.clearbit.com/www.amgen.com
APH,Amphenol,www.amphenol.com,https://logo.clearbit.com/www.amphenol.com
ADI,Analog Devices,www.analog.com,https://logo.clearbit.com/www.analog.com
ANSS,Ansys,www.ansys.com,https://logo.clearbit.com/www.ansys.com
AON,Aon,www.aon.com,https://logo.clearbit.com/www.aon.com
APA,APA Corporation,www.apacorp.com,https://logo.clearbit.com/www.apacorp.com
APO,Apollo Global Management,www.apollo.com,https://logo.clearbit.com/www.apollo.com
AAPL,Apple Inc.,www.apple.com,https://logo.clearbit.com/www.apple.com
AMAT,Applied Materials,www.appliedmaterials.com,https://logo.clearbit.com/www.appliedmaterials.com
APTV,Aptiv,www.aptiv.com,https://logo.clearbit.com/www.aptiv.com
ACGL,Arch Capital Group,www.archgroup.com,https://logo.clearbit.com/www.archgroup.com
ADM,Archer Daniels Midland,www.adm.com,https://logo.clearbit.com/www.adm.com
ANET,Arista Networks,www.arista.com,https://logo.clearbit.com/www.arista.com
AJG,Arthur J. Gallagher & Co.,www.ajg.com,https://logo.clearbit.com/www.ajg.com
AIZ,Assurant,www.assurant.com,https://logo.clearbit.com/www.assurant.com
T,AT&T,www.att.com,https://logo.clearbit.com/www.att.com
ATO,Atmos Energy,www.atmosenergy.com,https://logo.clearbit.com/www.atmosenergy.com
ADSK,Autodesk,www.autodesk.com,https://logo.clearbit.com/www.autodesk.com
ADP,Automatic Data Processing,www.adp.com,https://logo.clearbit.com/www.adp.com
AZO,AutoZone,www.autozone.com,https://logo.clearbit.com/www.autozone.com
AVB,AvalonBay Communities,www.avalonbay.com,https://logo.clearbit.com/www.avalonbay.com
AVY,Avery Dennison,www.averydennison.com,https://logo.clearbit.com/www.averydennison.com
AXON,Axon Enterprise,www.axon.com,https://logo.clearbit.com/www.axon.com
BKR,Baker Hughes,www.bakerhughes.com,https://logo.clearbit.com/www.bakerhughes.com
BALL,Ball Corporation,www.ball.com,https://logo.clearbit.com/www.ball.com
BAC,Bank of America,www.bankofamerica.com,https://logo.clearbit.com/www.bankofamerica.com
BAX,Baxter International,www.baxter.com,https://logo.clearbit.com/www.baxter.com
BDX,Becton Dickinson,www.bd.com,https://logo.clearbit.com/www.bd.com
BRK.B,Berkshire Hathaway,berkshirehathaway.com,https://logo.clearbit.com/berkshirehathaway.com
BBY,Best Buy,corporate.bestbuy.com,https://logo.clearbit.com/corporate.bestbuy.com
TECH,Bio-Techne,www.bio-techne.com,https://logo.clearbit.com/www.bio-techne.com
BIIB,Biogen,www.biogen.com,https://logo.clearbit.com/www.biogen.com
BLK,BlackRock,www.blackrock.com,https://logo.clearbit.com/www.blackrock.com
BX,Blackstone Inc.,www.blackstone.com,https://logo.clearbit.com/www.blackstone.com
BK,BNY Mellon,www.bny.com,https://logo.clearbit.com/www.bny.com
BA,Boeing,www.boeing.com,https://logo.clearbit.com/www.boeing.com
BKNG,Booking Holdings,www.bookingholdings.com,https://logo.clearbit.com/www.bookingholdings.com
BWA,BorgWarner,www.borgwarner.com,https://logo.clearbit.com/www.borgwarner.com
BSX,Boston Scientific,www.bostonscientific.com,https://logo.clearbit.com/www.bostonscientific.com
